"estdepartureairport","estarrivalairport","flights"
KHSV,KIAD,12
LFPO,LEBL,65
OMDB,OERY,1
EDLW,EPKK,4
KHEF,K62D,1
LEAL,EGNT,20
KTEB,KHWV,3
ESSA,BIKF,1
KSEA,OG63,1
CYYZ,"1WI6",1
LDZA,LPPT,4
KRNO,KSEA,24
KTEX,KDEN,9
"8TX7",KVPS,5
KBOI,"1WI6",1
SBVT,SBGR,21
KSNA,KTOA,8
KTEB,NK47,2
K06C,KU42,1
AZ61,"0AZ4",1
KBED,CT52,2
KTEB,"3MA5",1
ENGM,UUEE,13
EKCH,LYBT,4
EDDB,LIPE,6
KCLT,TN98,1
KDVT,"37AZ",10
KXLL,K47N,1
"89OI","89OI",2
KABE,KILG,1
EDDF,ESGT,1
LFPG,CSH2,1
KIAD,CO53,1
KUAO,WA46,2
GA94,GA59,1
"67OR","67OR",3
LFPG,FAOR,13
KDAL,KATL,2
OH95,K9A0,1
KOPF,KCMH,5
LFPO,LICJ,3
EPPO,LEMG,1
LL59,EDJA,1
"09FA","09FL",1
KFPK,LL10,1
"05TE",TA49,1
LFPB,LFSW,1
EDDL,EDFM,1
KU77,KU14,5
EGCC,LGSR,7
ETMN,EDXH,1
UKKM,UKKM,6
"9CL2","3CA9",1
EDDF,LFML,12
LCPH,UUWW,4
GA50,"5GA5",1
"3FD4",FA18,1
LHBP,UUWW,11
DE29,"6MD7",1
KBWI,K29D,1
KC81,"9WI8",2
EGKK,EDDS,10
RKSI,CYYZ,6
KS67,ID68,1
LHBP,LTFJ,8
KFIT,KOQU,1
K2W6,"5PN5",1
KEVV,KAKH,3
LKKL,LGKO,5
LFPB,LIPZ,3
KTYS,MO33,1
KROC,KANE,1
KMYF,KSDM,4
KBED,KTTN,5
LFBO,LICP,1
VMMC,RJFF,4
CO96,KAPA,8
YBNS,YMEN,9
KLOM,PS38,1
KOPF,KTTF,1
KSKA,KUAO,1
MD14,KDCA,4
LSZH,CYYZ,7
UTTT,EVRA,1
EDHI,EGNR,7
EDDH,LEJR,3
KEWR,NK71,4
LIPX,EGKK,18
KFOK,KLDJ,4
KBJC,"0CO1",8
WA42,WT77,1
KBJC,KTUL,2
KAPA,KHQZ,1
KSEE,KSEE,385
KSEZ,KFLG,1
KEWB,MA72,7
VIDP,LSZH,6
EGLL,VHHH,56
KTPA,KDWH,2
EGLL,OMAA,33
UUEE,UIII,28
KATL,EBLG,3
FAOR,LTBW,8
OMDB,VNKT,17
KCLT,KT00,2
LEBL,KCLT,5
TN73,K16G,1
KDTW,KPHX,24
CYVR,CYUL,44
EDDB,LE85,3
KSMO,KSMO,79
CYUL,LFPG,43
ESGG,OTHH,5
LFBD,LMML,2
KLGB,KNTD,1
UUEE,LDZA,7
UAAA,EGLL,2
LSZA,LIED,1
YBBN,YPPH,62
KATL,KDAL,61
KCDC,K0L7,2
EDDH,EDDR,10
KBNA,"0GE0",35
"5MN4",KEFW,1
IA35,KNUN,1
NJ84,DE29,1
"08VA",KDAN,1
RCTP,RJBB,143
KIAD,K4B8,7
EDDK,EDCT,27
KBOS,KRDU,84
KLGB,KOAK,54
KPHX,KAUS,38
KVNY,KSNA,24
SBGL,SBBR,24
